nodePartenza,NameNft,Hop,NumeroNodi,repliche,KsizeBucket,time_ms,alpha
node1,Solana Droid Business,-1,40,0,3,1,5
node25,CyberPunks,3,40,0,3,4,5
node34,Gapes on Sol,2,40,0,3,3,5
node8,Moolah Monkeys,3,40,0,3,4,5
node33,Solamanders,4,40,0,3,6,5
node35,Hash && Dash,3,40,0,3,5,5
node22,SolSnatchers,1,40,0,3,1,5
node29,Ghost Machine,2,40,0,3,2,5
node40,Verse of Death,3,40,0,3,4,5
node22,MBBs,2,40,0,3,3,5
node11,12 Tribes,2,40,0,3,2,5
node12,The Tower,2,40,0,3,2,5
node35,Solana Mystery Box,3,40,0,3,5,5
node36,Drippy Penguins,3,40,0,3,5,5
node21,Galaxity,2,40,0,3,2,5
node9,Ape Fam Passes,3,40,0,3,5,5
node18,Ancient Soluments,1,40,0,3,1,5
node15,Danerob,2,40,0,3,3,5
node1,Sol Bit Stars,-1,40,0,3,1,5
node31,Whales Nation,2,40,0,3,2,5
node13,Folktales of Lunaria,3,40,0,3,4,5
node18,Akuma no Neko,2,40,0,3,2,5
node9,Multiverse Llama,3,40,0,3,4,5
node31,Elite Legion,2,40,0,3,3,5
node8,Soltato,1,40,0,3,1,5
node37,Helios Aurory,2,40,0,3,3,5
node32,bright celebrities,2,40,0,3,3,5
node26,Solpass,3,40,0,3,5,5
node14,RowdyRex,2,40,0,3,2,5
node18,TamaKo - Origins,3,40,0,3,4,5
node17,Goofy Dracula,3,40,0,3,4,5
node39,Sol Vikings,2,40,0,3,2,5
node27,Social Donkeys,2,40,0,3,3,5
node8,WipeMyAss,2,40,0,3,3,5
node33,Dynamic Shields,3,40,0,3,5,5
node16,Kingdom of Dwarves: Whitelist,3,40,0,3,4,5
node38,CryptoBills,1,40,0,3,1,5
node38,Flashy Flamingos,1,40,0,3,1,5
node38,Heavens Sevens Lotto,3,40,0,3,4,5
node24,Broken Robot Burger Bar,3,40,0,3,5,5
node13,Genopets Eggs,3,40,0,3,7,5
node20,Solworms,3,40,0,3,11,5
node11,Phanbots,2,40,0,3,4,5
node8,SolDoge Strays,2,40,0,3,10,5
node26,Moolah Monkey Club,3,40,0,3,7,5
node20,SOLSY The Whale,3,40,0,3,9,5
node29,Cyborg Apes,3,40,0,3,8,5
node12,Terrestrial T-Rex Club,2,40,0,3,3,5
node34,Numismatic NFT's,1,40,0,3,1,5
node28,The Millennials,3,40,0,3,8,5
node1,Kiddo Monkeys,-1,40,0,3,2,5
node27,Barber Heart,3,40,0,3,7,5
node1,The Baby Boogles,-1,40,0,3,1,5
node12,SOLSTEADS OFFICAL,2,40,0,3,2,5
node32,Solana Ducks,2,40,0,3,4,5
node21,Malibu Dolphin Mixer,2,40,0,3,2,5
node1,Blockasset x Dosbrak Legends,-1,40,0,3,0,5
node22,Funky Punks V2,2,40,0,3,3,5
node20,VETUS AMICITIA,2,40,0,3,2,5
node30,Danger Valley Ducks,3,40,0,3,5,5
node1,Shiba SolGang,-1,40,0,3,1,5
node35,Point Of Departure,3,40,0,3,4,5
node9,BEAR MARKET BAR,2,40,0,3,2,5
node23,Zombie Ape Club,3,40,0,3,4,5
node25,Koalas,3,40,0,3,4,5
node10,Sol Kitties,2,40,0,3,3,5
node15,GEMSkulls,2,40,0,3,2,5
node36,Eternal Beings,1,40,0,3,1,5
node16,Mystic Girls Club,3,40,0,3,5,5
node15,I CAN WRITE NEAT,2,40,0,3,3,5
node2,UNQ Universe,3,40,0,3,4,5
node9,Angry Bunny Club,2,40,0,3,3,5
node23,3D Flowers,1,40,0,3,1,5
node40,Cubist Animals,3,40,0,3,5,5
node29,Long Neck New World,4,40,0,3,6,5
node4,Galaxy Solo,3,40,0,3,5,5
node9,Royal Bear Zilla 3D,2,40,0,3,3,5
node27,PyramidsofPower,3,40,0,3,5,5
node35,Groovy Afterlife,3,40,0,3,4,5
node12,Sol Millionaire Club,3,40,0,3,4,5
node38,Degenerate Ape Academy,3,40,0,3,4,5
node9,SolTreez,3,40,0,3,4,5
node32,ROGUE SHARKS,2,40,0,3,3,5
node34,Undead Sols,3,40,0,3,4,5
node27,Pawnshop Gnomies,2,40,0,3,2,5
node35,Portals,3,40,0,3,4,5
node37,HalászÚr,2,40,0,3,2,5
node13,Artem Cryptoart,3,40,0,3,5,5
node14,PixMonkies,4,40,0,3,7,5
node26,PsyShrooms,2,40,0,3,2,5
node36,SolaJump NFT Game,4,40,0,3,6,5
node24,Thirsty Cactus Garden Party,2,40,0,3,2,5
node25,astro pepes,3,40,0,3,4,5
node26,Silly Seals,2,40,0,3,2,5
node37,Grumpy Grandpas,2,40,0,3,2,5
node27,Asgard Army,2,40,0,3,2,5
node21,Sea Rovers,3,40,0,3,4,5
node26,Investor Whale,3,40,0,3,4,5
node11,Cryptonic Creations,2,40,0,3,2,5
node36,Waxo Skulls,2,40,0,3,3,5
node24,Rogue Pandas,2,40,0,3,2,5
node9,Pandas Tickets #1,3,40,0,3,5,5
node6,BORED CATS CLUB,2,40,0,3,2,5
node29,Cult of Meerkats,3,40,0,3,4,5
node35,Solympian Gods,3,40,0,3,4,5
node37,Lazy Heroes,3,40,0,3,4,5
node8,Spookeletons,3,40,0,3,4,5
node11,BACKPAIN,3,40,0,3,4,5
node23,Gloomy Dudes,2,40,0,3,2,5
node13,The 50's Kid,1,40,0,3,1,5
node40,Crypto Carz,1,40,0,3,1,5
node29,R0B0T ANGELS,2,40,0,3,2,5
node22,Abstracto Sol,3,40,0,3,4,5
node17,Angry Armadillos,3,40,0,3,4,5
node8,DeFiHoodNFT,3,40,0,3,8,5
node22,Moments,2,40,0,3,3,5
node10,Soalas NFT,2,40,0,3,3,5
node1,MetaLand,-1,40,0,3,0,5
node4,HUMILITY,2,40,0,3,2,5
node27,PerkyPanda Club,3,40,0,3,5,5
node26,Soloth Street Club,3,40,0,3,4,5
node2,Cryptomost: Fanclub,2,40,0,3,4,5
node4,The Infamous Thugbirdz,2,40,0,3,3,5
node35,Sol Doggos,2,40,0,3,3,5
node11,Anime Loot,2,40,0,3,3,5
node17,Shredded Apes: Gym Club,1,40,0,3,1,5
node12,Solana Eggs,3,40,0,3,5,5
node33,Trippy Places,3,40,0,3,4,5
node3,Solanauts,2,40,0,3,2,5
node19,Rat Bastards,3,40,0,3,4,5
node30,ChainMyth - Golden Tickets,3,40,0,3,4,5
node28,SolanaEagle,2,40,0,3,2,5
node34,Time Variants,2,40,0,3,2,5
node38,SolBears,3,40,0,3,4,5
node13,256 MetaPunks,2,40,0,3,3,5
node20,freNFT Base-Set V0,2,40,0,3,2,5
node4,Shiba Family,3,40,0,3,4,5
node16,The Solana Piranhas,3,40,0,3,5,5
node36,The Orb Project,2,40,0,3,3,5
node28,SolNerds,2,40,0,3,3,5
node27,CryptoRock,3,40,0,3,5,5
node23,Astro Heads,3,40,0,3,4,5
node18,RoyalSnakes Club,2,40,0,3,2,5
node36,SolStars,2,40,0,3,2,5
node6,Gold's Emporium,3,40,0,3,4,5
node6,theBULL,2,40,0,3,3,5
node32,Banana Solana,2,40,0,3,2,5
node38,CatFamily,3,40,0,3,5,5
node14,SOLdreams,3,40,0,3,5,5
node1,Shuffle Sharks,-1,40,0,3,1,5
node24,GALAXXIA,3,40,0,3,4,5
node9,CryptoAmulets S2,2,40,0,3,3,5
node26,Solania,3,40,0,3,5,5
node6,Numoon,2,40,0,3,2,5
node1,Sollamas Fan Arts,-1,40,0,3,1,5
node34,Solamids,3,40,0,3,5,5
node29,ThePocketBitcoinBand,3,40,0,3,4,5
node30,NFIT Social Club,3,40,0,3,4,5
node13,CyberCityCat,3,40,0,3,5,5
node40,PixelApes,3,40,0,3,5,5
node22,PLUS QUAM,1,40,0,3,1,5
node24,Ben the Robot,2,40,0,3,2,5
node39,gmoot poems,3,40,0,3,4,5
node26,Orcanauts,3,40,0,3,4,5
node21,SPACE KITTIES vol.1,2,40,0,3,3,5
node11,Skyline,2,40,0,3,3,5
node36,Wool Capital Group,3,40,0,3,4,5
node29,Ape Punks,1,40,0,3,1,5
node10,The Sloth Republic,3,40,0,3,3,5
node24,Spiderverse,3,40,0,3,5,5
node25,Meta Drago,3,40,0,3,4,5
node17,SolNauts,2,40,0,3,3,5
node19,TiasTacos,3,40,0,3,4,5
node30,CyberKeys,2,40,0,3,3,5
node28,CryptoFaces,2,40,0,3,2,5
node1,Scar Solciety,-1,40,0,3,0,5
node15,Bitfluencers,2,40,0,3,2,5
node24,Orc Racing Club,3,40,0,3,5,5
node19,PonderMonsterHotties,2,40,0,3,2,5
node18,Skullies,3,40,0,3,4,5
node11,SOLChamies,3,40,0,3,5,5
node33,Moshed Ape Club,2,40,0,3,2,5
node20,Nuclear Dolphins NFT,3,40,0,3,5,5
node25,Goblin Laboratory,4,40,0,3,6,5
node29,CBS Gen0,2,40,0,3,3,5
node22,Cryptomafia,2,40,0,3,2,5
node26,Soulless,2,40,0,3,2,5
node21,Anime Girls,2,40,0,3,3,5
node4,Crypto Lizzy,1,40,0,3,1,5
node12,Homo Sapiens,2,40,0,3,2,5
node8,Gruesome Goblins,3,40,0,3,4,5
node22,Electra Ladies,3,40,0,3,5,5
node33,Nasty Nerds,2,40,0,3,3,5
node35,Unikornica,3,40,0,3,4,5
node16,Foxy Fennecs Gang,2,40,0,3,3,5
node32,For NY gifts,2,40,0,3,2,5
node22,SolDough Market,3,40,0,3,4,5
node7,Alchemy Bugs,2,40,0,3,2,5
node15,Subway Skaters,2,40,0,3,2,5
node12,Solana Big Brother,2,40,0,3,3,5
node18,Lucky Kittens,3,40,0,3,4,5
node10,Electric Originals,2,40,0,3,3,5
node25,SUPERCARS CLUB,2,40,0,3,2,5
node32,BabySpartan Flamingo,2,40,0,3,3,5
node10,Gentle Monkiez,3,40,0,3,4,5
node7,Solzoo Series 1,2,40,0,3,2,5
node27,Kaizen Corps,2,40,0,3,5,5
node15,Sol y Luna,2,40,0,3,3,5
node23,Digital Ducklings,2,40,0,3,2,5
node4,Glyph-Bound Reveal,3,40,0,3,4,5
node30,Meekolony,3,40,0,3,5,5
node26,HitPunks,1,40,0,3,1,5
node9,Lost Lynx Society,3,40,0,3,4,5
node9,Soulmates,3,40,0,3,4,5
node39,Rogue Sharks™ NFT,2,40,0,3,3,5
node25,SolPunks in Lego,2,40,0,3,2,5
node3,Block Cheese Gang,2,40,0,3,2,5
node27,Sol Cat @Lilbaksik,2,40,0,3,3,5
node35,The Beginning,1,40,0,3,1,5
node27,G.O.A.T. Collection,3,40,0,3,4,5
node32,SOLENFORCERS,2,40,0,3,3,5
node35,Starbase,3,40,0,3,4,5
node31,Fluffy Heads,3,40,0,3,4,5
node38,POLLYANNA,2,40,0,3,2,5
node17,The Bean Team,3,40,0,3,4,5
node8,Famous Caricatures,2,40,0,3,2,5
node14,Flying Monkes,1,40,0,3,1,5
node24,Underground Mode,3,40,0,3,5,5
node14,HiveKeepers,3,40,0,3,4,5
node25,Bud Head Hood Girls,2,40,0,3,2,5
node23,Corona Pixus,4,40,0,3,7,5
node1,The Ollivander,-1,40,0,3,1,5
node11,PSY Network | PlanetZ,3,40,0,3,4,5
node8,Solana Monkey University,3,40,0,3,5,5
node7,BillionaireBatsClub,2,40,0,3,2,5
node30,Reindeer Frozen,3,40,0,3,5,5
node21,Kreechures,3,40,0,3,4,5
node28,Culture Of Women,1,40,0,3,1,5
node36,SolStein,3,40,0,3,5,5
node7,Solana Tigers,2,40,0,3,3,5
node16,Tiny Tigers,3,40,0,3,4,5
node18,SGFUnited,3,40,0,3,5,5
node2,Solanne,2,40,0,3,2,5
node3,Moonicorns,2,40,0,3,2,5
node1,Rogue Circuits,-1,40,0,3,1,5
node40,Cyber Frogs,3,40,0,3,4,5
node27,Stickwives of the StickVerse,2,40,0,3,3,5
node35,Birefringence,2,40,0,3,3,5
node28,Pandas Paradise,2,40,0,3,2,5
node22,Sol Heroes,3,40,0,3,4,5
node19,The Keezer$ols,2,40,0,3,3,5
node14,Real Deal Xmas 2021,4,40,0,3,5,5
node12,LearnToApe Meerkatsu,3,40,0,3,3,5
node5,Sol Zombie NFT,3,40,0,3,5,5
node16,MonkeyBall,2,40,0,3,3,5
node14,CyberVerse,3,40,0,3,4,5
node7,Proto Pass,3,40,0,3,5,5
